YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,State,District,Latitude,Longitude
2001,79,36,0,30,0,30,53,27,26,15,1,39,96,119,3,116,4,14,18,3,21,172,3,16,0,15,0,27,433,1194,Assam,Nalbari,26.46323767605632,91.40598521126763
2001,59,24,0,47,0,47,64,64,0,3,0,41,1,343,35,308,50,14,29,5,21,286,0,28,0,0,0,82,546,1643,Assam,Sibsagar,27.02762869565218,94.90025847826082
2001,86,25,1,53,0,53,87,80,7,27,3,21,175,356,6,350,85,22,21,1,32,451,1,43,0,99,0,145,575,2309,Assam,Sonitpur,26.73514926829268,92.85197804878044
2001,107,17,1,41,0,41,62,48,14,34,0,35,100,350,8,342,22,12,10,0,1,237,2,9,0,21,0,75,245,1381,Assam,Tinsukia,27.53549291139241,95.69055949367085
2001,47,27,4,93,0,93,79,13,66,39,1,43,80,161,19,142,375,26,47,0,3,10,11,3,0,50,0,26,944,2069,Bihar,Araria,26.211528119180603,87.30766554934816
2001,74,46,0,16,0,16,24,4,20,19,1,28,137,103,8,95,155,13,28,2,3,25,33,13,2,19,0,82,867,1690,Bihar,Aurangabad,24.774291867469877,84.45986024096379
2001,74,46,0,16,0,16,24,4,20,19,1,28,137,103,8,95,155,13,28,2,3,25,33,13,2,19,0,82,867,1690,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334
2001,93,16,4,34,0,34,27,10,17,49,2,39,51,73,0,73,196,4,3,0,4,8,9,0,0,16,0,0,758,1386,Bihar,Banka,24.832355642023337,86.8664916342413
2001,124,77,5,13,0,13,53,7,46,18,0,67,76,265,16,249,147,26,26,0,6,65,21,32,0,21,0,71,1515,2628,Bihar,Begusarai,25.54302613168723,86.12560144032932
2001,128,73,6,35,0,35,66,9,57,22,6,55,127,370,25,345,171,22,47,1,13,9,20,15,0,52,0,53,1343,2634,Bihar,Bhagalpur,25.277192885375477,87.04213814229242
