Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs),State,District,Latitude,Longitude
27,2008 (2004),6,Madhya Pradesh,Bhind,11226,15027,41.05,42.24,7026,8997,25.69,25.29,9096,11548,33.26,32.46,27348,35572,22,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
27,2009 (2004),6,Madhya Pradesh,Bhind,12060,17781,40.99,43.77,7342,9715,24.95,23.92,10021,13126,34.06,32.31,29424,40622,25,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
27,2010 (2004),6,Madhya Pradesh,Bhind,12292,20198,39.51,43.16,7889,11184,25.36,23.9,10930,15414,35.13,32.94,31112,46796,28,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
27,2011 (2004),6,Madhya Pradesh,Bhind,14597,25807,43.15,46.86,7424,11394,21.95,20.69,11808,17870,34.9,32.45,33829,55071,32,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
27,2012 (2004),6,Madhya Pradesh,Bhind,17336,33964,46.55,51.01,7228,11860,19.41,17.81,12678,20760,34.04,31.18,37242,66584,38,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
27,2013 (2004),6,Madhya Pradesh,Bhind,21340,47680,50.15,56.51,7324,12771,17.21,15.14,13888,23923,32.64,28.35,42552,84374,48,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
28,2007 (2004),6,Madhya Pradesh,Indore,10428,12486,6.49,6.6,70516,83145,43.87,43.95,79807,93554,49.65,49.45,160751,189185,65,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
28,2008 (2004),6,Madhya Pradesh,Indore,11702,15663,6.28,6.67,85764,108123,46.06,46.03,88725,111114,47.65,47.3,186190,234900,78,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
28,2009 (2004),6,Madhya Pradesh,Indore,14806,21829,7.12,8.03,93503,121173,45.0,44.56,99496,128944,47.88,47.42,207804,271946,88,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
28,2010 (2004),6,Madhya Pradesh,Indore,16842,27673,7.6,8.81,98040,135726,44.23,43.22,106794,150606,48.18,47.96,221675,314004,99,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
